entity_id,entity_type,entity_name,symbol,exchange,sector,is_active
STK_AEGISLOG,STOCK,Aegis Logistics Ltd.,AEGISLOG,NSE,,TRUE
STK_AEGISVOPAK,STOCK,Aegis Vopak Terminals Ltd.,AEGISVOPAK,NSE,,TRUE
STK_AETHER,STOCK,Aether Industries Ltd.,AETHER,NSE,,TRUE
STK_AFCONS,STOCK,Afcons Infrastructure Ltd.,AFCONS,NSE,,TRUE
STK_AFFLE,STOCK,Affle 3i Ltd.,AFFLE,NSE,,TRUE
STK_AHLUCONT,STOCK,Ahluwalia Contracts (India) Ltd.,AHLUCONT,NSE,,TRUE
STK_AJANTPHARM,STOCK,Ajanta Pharmaceuticals Ltd.,AJANTPHARM,NSE,,TRUE
STK_AJAXENGG,STOCK,Ajax Engineering Ltd.,AJAXENGG,NSE,,TRUE
STK_AKUMS,STOCK,Akums Drugs and Pharmaceuticals Ltd.,AKUMS,NSE,,TRUE
STK_AKZOINDIA,STOCK,Akzo Nobel India Ltd.,AKZOINDIA,NSE,,TRUE
STK_APLLTD,STOCK,Alembic Pharmaceuticals Ltd.,APLLTD,NSE,,TRUE
STK_ALIVUS,STOCK,Alivus Life Sciences Ltd.,ALIVUS,NSE,,TRUE
STK_ALKEM,STOCK,Alkem Laboratories Ltd.,ALKEM,NSE,,TRUE
STK_ALKYLAMINE,STOCK,Alkyl Amines Chemicals Ltd.,ALKYLAMINE,NSE,,TRUE
STK_ALLCARGO,STOCK,Allcargo Logistics Ltd.,ALLCARGO,NSE,,TRUE
STK_ABDL,STOCK,Allied Blenders and Distillers Ltd.,ABDL,NSE,,TRUE
STK_ALOKINDS,STOCK,Alok Industries Ltd.,ALOKINDS,NSE,,TRUE
STK_ARE&M,STOCK,Amara Raja Energy & Mobility Ltd.,ARE&M,NSE,,TRUE
STK_AMBER,STOCK,Amber Enterprises India Ltd.,AMBER,NSE,,TRUE
STK_AMBUJACEM,STOCK,Ambuja Cements Ltd.,AMBUJACEM,NSE,,TRUE
STK_ANANDRATHI,STOCK,Anand Rathi Wealth Ltd.,ANANDRATHI,NSE,,TRUE
STK_ANANTRAJ,STOCK,Anant Raj Ltd.,ANANTRAJ,NSE,,TRUE
STK_ANGELONE,STOCK,Angel One Ltd.,ANGELONE,NSE,,TRUE
STK_ANURAS,STOCK,Anupam Rasayan India Ltd.,ANURAS,NSE,,TRUE
STK_APARINDS,STOCK,Apar Industries Ltd.,APARINDS,NSE,,TRUE
STK_PARKHOTELS,STOCK,Apeejay Surrendra Park Hotels Ltd.,PARKHOTELS,NSE,,TRUE
STK_APOLLOHOSP,STOCK,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,NSE,,TRUE
STK_APOLLOTYRE,STOCK,Apollo Tyres Ltd.,APOLLOTYRE,NSE,,TRUE
STK_APTUS,STOCK,Aptus Value Housing Finance India Ltd.,APTUS,NSE,,TRUE
STK_ACI,STOCK,Archean Chemical Industries Ltd.,ACI,NSE,,TRUE
STK_ARVINDFASN,STOCK,Arvind Fashions Ltd.,ARVINDFASN,NSE,,TRUE
STK_ARVIND,STOCK,Arvind Ltd.,ARVIND,NSE,,TRUE
STK_ASAHIINDIA,STOCK,Asahi India Glass Ltd.,ASAHIINDIA,NSE,,TRUE
STK_ASHOKLEY,STOCK,Ashok Leyland Ltd.,ASHOKLEY,NSE,,TRUE
STK_ASHOKA,STOCK,Ashoka Buildcon Ltd.,ASHOKA,NSE,,TRUE
STK_ASIANPAINT,STOCK,Asian Paints Ltd.,ASIANPAINT,NSE,,TRUE
STK_ASTERDM,STOCK,Aster DM Healthcare Ltd.,ASTERDM,NSE,,TRUE
STK_ASTRAMICRO,STOCK,Astra Microwave Products Ltd.,ASTRAMICRO,NSE,,TRUE
STK_ASTRAZEN,STOCK,AstraZenca Pharma India Ltd.,ASTRAZEN,NSE,,TRUE
STK_ASTRAL,STOCK,Astral Ltd.,ASTRAL,NSE,,TRUE
STK_ATHERENERG,STOCK,Ather Energy Ltd.,ATHERENERG,NSE,,TRUE
STK_ATUL,STOCK,Atul Ltd.,ATUL,NSE,,TRUE
STK_AURIONPRO,STOCK,Aurionpro Solution Ltd.,AURIONPRO,NSE,,TRUE
STK_AUROPHARMA,STOCK,Aurobindo Pharma Ltd.,AUROPHARMA,NSE,,TRUE
STK_AIIL,STOCK,Authum Investment & Infrastructure Ltd.,AIIL,NSE,,TRUE
STK_AVALON,STOCK,Avalon Technologies Ltd.,AVALON,NSE,,TRUE
STK_AVANTIFEED,STOCK,Avanti Feeds Ltd.,AVANTIFEED,NSE,,TRUE
STK_DMART,STOCK,Avenue Supermarts Ltd.,DMART,NSE,,TRUE
STK_AWFIS,STOCK,Awfis Space Solutions Ltd.,AWFIS,NSE,,TRUE
STK_AXISBANK,STOCK,Axis Bank Ltd.,AXISBANK,NSE,,TRUE
STK_AZAD,STOCK,Azad Engineering Ltd.,AZAD,NSE,,TRUE
STK_BASF,STOCK,BASF India Ltd.,BASF,NSE,,TRUE
STK_BEML,STOCK,BEML Ltd.,BEML,NSE,,TRUE
STK_BLS,STOCK,BLS International Services Ltd.,BLS,NSE,,TRUE
STK_BSE,STOCK,BSE Ltd.,BSE,NSE,,TRUE
STK_BAJAJ-AUTO,STOCK,Bajaj Auto Ltd.,BAJAJ-AUTO,NSE,,TRUE
STK_BAJAJELEC,STOCK,Bajaj Electricals Ltd,BAJAJELEC,NSE,,TRUE
STK_BAJFINANCE,STOCK,Bajaj Finance Ltd.,BAJFINANCE,NSE,,TRUE
STK_BAJAJFINSV,STOCK,Bajaj Finserv Ltd.,BAJAJFINSV,NSE,,TRUE
STK_BAJAJHLDNG,STOCK,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,NSE,,TRUE
STK_BAJAJHFL,STOCK,Bajaj Housing Finance Ltd.,BAJAJHFL,NSE,,TRUE
STK_BALAMINES,STOCK,Balaji Amines Ltd.,BALAMINES,NSE,,TRUE
STK_BALKRISIND,STOCK,Balkrishna Industries Ltd.,BALKRISIND,NSE,,TRUE
STK_BALRAMCHIN,STOCK,Balrampur Chini Mills Ltd.,BALRAMCHIN,NSE,,TRUE
STK_BALUFORGE,STOCK,Balu Forge Industries Ltd.,BALUFORGE,NSE,,TRUE
STK_BANCOINDIA,STOCK,Banco Products (India) Ltd.,BANCOINDIA,NSE,,TRUE
STK_BANDHANBNK,STOCK,Bandhan Bank Ltd.,BANDHANBNK,NSE,,TRUE
STK_BANKBARODA,STOCK,Bank of Baroda,BANKBARODA,NSE,,TRUE
STK_BANKINDIA,STOCK,Bank of India,BANKINDIA,NSE,,TRUE
STK_MAHABANK,STOCK,Bank of Maharashtra,MAHABANK,NSE,,TRUE
STK_BATAINDIA,STOCK,Bata India Ltd.,BATAINDIA,NSE,,TRUE
STK_BAYERCROP,STOCK,Bayer Cropscience Ltd.,BAYERCROP,NSE,,TRUE
STK_BELRISE,STOCK,Belrise Industries Ltd.,BELRISE,NSE,,TRUE
STK_BERGEPAINT,STOCK,Berger Paints India Ltd.,BERGEPAINT,NSE,,TRUE
STK_BBL,STOCK,Bharat Bijlee Ltd.,BBL,NSE,,TRUE
STK_BDL,STOCK,Bharat Dynamics Ltd.,BDL,NSE,,TRUE
STK_BEL,STOCK,Bharat Electronics Ltd.,BEL,NSE,,TRUE
STK_BHARATFORG,STOCK,Bharat Forge Ltd.,BHARATFORG,NSE,,TRUE
STK_BHEL,STOCK,Bharat Heavy Electricals Ltd.,BHEL,NSE,,TRUE
STK_BPCL,STOCK,Bharat Petroleum Corporation Ltd.,BPCL,NSE,,TRUE
STK_BHARTIARTL,STOCK,Bharti Airtel Ltd.,BHARTIARTL,NSE,,TRUE
STK_BHARTIHEXA,STOCK,Bharti Hexacom Ltd.,BHARTIHEXA,NSE,,TRUE
STK_BIKAJI,STOCK,Bikaji Foods International Ltd.,BIKAJI,NSE,,TRUE
STK_BIOCON,STOCK,Biocon Ltd.,BIOCON,NSE,,TRUE
STK_BIRLACORPN,STOCK,Birla Corporation Ltd.,BIRLACORPN,NSE,,TRUE
STK_BSOFT,STOCK,Birlasoft Ltd.,BSOFT,NSE,,TRUE
STK_BLACKBUCK,STOCK,Blackbuck Ltd.,BLACKBUCK,NSE,,TRUE
STK_BLUEDART,STOCK,Blue Dart Express Ltd.,BLUEDART,NSE,,TRUE
STK_BLUEJET,STOCK,Blue Jet Healthcare Ltd.,BLUEJET,NSE,,TRUE
STK_BLUESTARCO,STOCK,Blue Star Ltd.,BLUESTARCO,NSE,,TRUE
STK_BBTC,STOCK,Bombay Burmah Trading Corporation Ltd.,BBTC,NSE,,TRUE
STK_BORORENEW,STOCK,Borosil Renewables Ltd.,BORORENEW,NSE,,TRUE
STK_BOSCHLTD,STOCK,Bosch Ltd.,BOSCHLTD,NSE,,TRUE
STK_FIRSTCRY,STOCK,Brainbees Solutions Ltd.,FIRSTCRY,NSE,,TRUE
STK_BRIGADE,STOCK,Brigade Enterprises Ltd.,BRIGADE,NSE,,TRUE
STK_BRITANNIA,STOCK,Britannia Industries Ltd.,BRITANNIA,NSE,,TRUE
STK_MAPMYINDIA,STOCK,C.E. Info Systems Ltd.,MAPMYINDIA,NSE,,TRUE
STK_CCL,STOCK,CCL Products (I) Ltd.,CCL,NSE,,TRUE
STK_CESC,STOCK,CESC Ltd.,CESC,NSE,,TRUE
STK_CGPOWER,STOCK,CG Power and Industrial Solutions Ltd.,CGPOWER,NSE,,TRUE
STK_CIEINDIA,STOCK,CIE Automotive India Ltd.,CIEINDIA,NSE,,TRUE
STK_CMSINFO,STOCK,CMS Info Systems Ltd.,CMSINFO,NSE,,TRUE
STK_CRISIL,STOCK,CRISIL Ltd.,CRISIL,NSE,,TRUE
STK_CSBBANK,STOCK,CSB Bank Ltd.,CSBBANK,NSE,,TRUE
STK_CAMPUS,STOCK,Campus Activewear Ltd.,CAMPUS,NSE,,TRUE
STK_CANFINHOME,STOCK,Can Fin Homes Ltd.,CANFINHOME,NSE,,TRUE
STK_CANBK,STOCK,Canara Bank,CANBK,NSE,,TRUE
STK_CAPLIPOINT,STOCK,Caplin Point Laboratories Ltd.,CAPLIPOINT,NSE,,TRUE
STK_CGCL,STOCK,Capri Global Capital Ltd.,CGCL,NSE,,TRUE
STK_CARBORUNIV,STOCK,Carborundum Universal Ltd.,CARBORUNIV,NSE,,TRUE
STK_CARTRADE,STOCK,Cartrade Tech Ltd.,CARTRADE,NSE,,TRUE
STK_CASTROLIND,STOCK,Castrol India Ltd.,CASTROLIND,NSE,,TRUE
STK_CEATLTD,STOCK,Ceat Ltd.,CEATLTD,NSE,,TRUE
STK_CEIGALL,STOCK,Ceigall India Ltd.,CEIGALL,NSE,,TRUE
STK_CELLO,STOCK,Cello World Ltd.,CELLO,NSE,,TRUE
STK_CEMPRO,STOCK,Cemindia Projects Ltd.,CEMPRO,NSE,,TRUE
STK_CENTRALBK,STOCK,Central Bank of India,CENTRALBK,NSE,,TRUE
STK_CDSL,STOCK,Central Depository Services (India) Ltd.,CDSL,NSE,,TRUE
STK_CENTURYPLY,STOCK,Century Plyboards (India) Ltd.,CENTURYPLY,NSE,,TRUE
STK_CERA,STOCK,Cera Sanitaryware Ltd,CERA,NSE,,TRUE
STK_CHALET,STOCK,Chalet Hotels Ltd.,CHALET,NSE,,TRUE
STK_CHAMBLFERT,STOCK,Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,NSE,,TRUE
STK_CHENNPETRO,STOCK,Chennai Petroleum Corporation Ltd.,CHENNPETRO,NSE,,TRUE
STK_CHOICEIN,STOCK,Choice International Ltd.,CHOICEIN,NSE,,TRUE
STK_CHOLAHLDNG,STOCK,Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,NSE,,TRUE
STK_CHOLAFIN,STOCK,Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,NSE,,TRUE
STK_CIGNITITEC,STOCK,Cigniti Technologies Ltd.,CIGNITITEC,NSE,,TRUE
STK_CIPLA,STOCK,Cipla Ltd.,CIPLA,NSE,,TRUE
STK_CUB,STOCK,City Union Bank Ltd.,CUB,NSE,,TRUE
STK_CLEAN,STOCK,Clean Science and Technology Ltd.,CLEAN,NSE,,TRUE
STK_COALINDIA,STOCK,Coal India Ltd.,COALINDIA,NSE,,TRUE
