date,open,high,low,close,volume,index_name
2015-01-01 00:00:00+05:30,8272.79,8294.7,8248.75,8284,0,NIFTY 50
2015-01-02 00:00:00+05:30,8288.7,8410.6,8288.7,8395.4,0,NIFTY 50
2015-01-05 00:00:00+05:30,8407.95,8445.6,8363.9,8378.4,0,NIFTY 50
2015-01-06 00:00:00+05:30,8325.29,8327.85,8111.35,8127.3,0,NIFTY 50
2015-01-07 00:00:00+05:30,8118.65,8151.2,8065.45,8102.1,0,NIFTY 50
2015-01-08 00:00:00+05:30,8191.4,8243.5,8167.3,8234.6,0,NIFTY 50
2015-01-09 00:00:00+05:30,8285.45,8303.29,8190.8,8284.5,0,NIFTY 50
2015-01-12 00:00:00+05:30,8291.35,8332.6,8245.6,8323,0,NIFTY 50
2015-01-13 00:00:00+05:30,8346.15,8356.65,8267.9,8299.4,0,NIFTY 50
2015-01-14 00:00:00+05:30,8307.25,8326.45,8236.65,8277.5,0,NIFTY 50
2015-01-15 00:00:00+05:30,8424.5,8527.1,8380.54,8494.1,0,NIFTY 50
2015-01-16 00:00:00+05:30,8504.04,8530.75,8452.25,8513.79,0,NIFTY 50
2015-01-19 00:00:00+05:30,8550.04,8570.95,8531.5,8550.7,0,NIFTY 50
2015-01-20 00:00:00+05:30,8575.1,8707.9,8574.5,8695.6,0,NIFTY 50
2015-01-21 00:00:00+05:30,8719.65,8741.85,8689.6,8729.5,0,NIFTY 50
2015-01-22 00:00:00+05:30,8745.85,8774.15,8727,8761.4,0,NIFTY 50
2015-01-23 00:00:00+05:30,8827.95,8866.4,8795.4,8835.6,0,NIFTY 50
2015-01-27 00:00:00+05:30,8871.35,8925.04,8825.45,8910.5,0,NIFTY 50
2015-01-28 00:00:00+05:30,8902.75,8985.04,8874.04,8914.29,0,NIFTY 50
2015-01-29 00:00:00+05:30,8901.5,8966.65,8861.25,8952.29,0,NIFTY 50
2015-01-30 00:00:00+05:30,8996.6,8996.6,8775.1,8808.9,0,NIFTY 50
2015-02-02 00:00:00+05:30,8802.5,8840.79,8751.1,8797.4,0,NIFTY 50
2015-02-03 00:00:00+05:30,8823.15,8837.29,8726.65,8756.5,0,NIFTY 50
2015-02-04 00:00:00+05:30,8789.15,8792.85,8704.4,8723.7,0,NIFTY 50
2015-02-05 00:00:00+05:30,8733.1,8838.45,8683.65,8711.7,0,NIFTY 50
2015-02-06 00:00:00+05:30,8696.85,8726.2,8645.54,8661,0,NIFTY 50
2015-02-09 00:00:00+05:30,8584.4,8605.54,8516.35,8526.29,0,NIFTY 50
2015-02-10 00:00:00+05:30,8478.1,8646.25,8470.5,8565.5,0,NIFTY 50
2015-02-11 00:00:00+05:30,8603.29,8651.95,8593.65,8627.4,0,NIFTY 50
2015-02-12 00:00:00+05:30,8676.95,8732.54,8599.25,8711.5,0,NIFTY 50
2015-02-13 00:00:00+05:30,8741.5,8822.1,8729.65,8805.5,0,NIFTY 50
2015-02-16 00:00:00+05:30,8831.4,8870.1,8793.4,8809.29,0,NIFTY 50
2015-02-18 00:00:00+05:30,8811.54,8894.29,8808.9,8869.1,0,NIFTY 50
2015-02-19 00:00:00+05:30,8883.04,8913.45,8794.45,8895.29,0,NIFTY 50
2015-02-20 00:00:00+05:30,8895.5,8899.95,8816.29,8833.6,0,NIFTY 50
2015-02-23 00:00:00+05:30,8856.85,8869,8736.1,8754.9,0,NIFTY 50
2015-02-24 00:00:00+05:30,8772.9,8800.5,8726.75,8762.1,0,NIFTY 50
2015-02-25 00:00:00+05:30,8801.9,8840.65,8751.4,8767.2,0,NIFTY 50
2015-02-26 00:00:00+05:30,8779,8786.04,8669.45,8683.79,0,NIFTY 50
2015-02-27 00:00:00+05:30,8729.5,8856.95,8717.45,8844.6,0,NIFTY 50
2015-02-28 00:00:00+05:30,8913.04,8941.1,8751.35,8901.79,0,NIFTY 50
2015-03-02 00:00:00+05:30,8953.85,8972.35,8885.45,8956.7,0,NIFTY 50
2015-03-03 00:00:00+05:30,8962.85,9008.4,8925.54,8996.2,0,NIFTY 50
2015-03-04 00:00:00+05:30,9109.15,9119.2,8893.95,8922.6,0,NIFTY 50
2015-03-05 00:00:00+05:30,8929.4,8957.54,8849.35,8937.7,0,NIFTY 50
2015-03-09 00:00:00+05:30,8891.15,8891.29,8740.45,8756.7,0,NIFTY 50
2015-03-10 00:00:00+05:30,8769.75,8778,8677.35,8712,0,NIFTY 50
2015-03-11 00:00:00+05:30,8728.75,8755.6,8682.35,8699.9,0,NIFTY 50
2015-03-12 00:00:00+05:30,8740.65,8787.2,8732.9,8776,0,NIFTY 50
2015-03-13 00:00:00+05:30,8844.04,8849.75,8631.75,8647.7,0,NIFTY 50
2015-03-16 00:00:00+05:30,8656.75,8663.54,8612,8633.1,0,NIFTY 50
